GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stage,STAGE.stage.payloadResponse,JwtResponse,32,0,0,0,13,0,5,0,5,0
stage,STAGE.stage.mappers,EntityMapperImpl,2588,3,328,0,844,1,254,1,90,1
stage,STAGE.stage.controllers,EtudiantController,215,14,8,0,49,3,19,2,15,2
stage,STAGE.stage.controllers,OffreController,81,0,0,0,17,0,7,0,7,0
stage,STAGE.stage.controllers,RHController,55,3,0,0,12,1,7,1,7,1
stage,STAGE.stage.controllers,EncadrantController,76,0,0,0,19,0,10,0,10,0
stage,STAGE.stage.controllers,CompteEcoleController,94,0,0,0,22,0,15,0,15,0
stage,STAGE.stage.controllers,AuthentificationController,100,3,2,0,24,1,4,1,3,1
stage,STAGE.stage.controllers,EntrepriseController,104,3,2,0,23,1,10,1,9,1
stage,STAGE.stage.controllers,CoordinateurDeStageController,61,0,0,0,16,0,7,0,7,0
stage,STAGE.stage.controllers,EvaluationController,45,3,0,0,10,1,9,1,9,1
stage,STAGE.stage.controllers,FiliereController,70,3,0,0,14,1,6,1,6,1
stage,STAGE.stage.controllers,CompteEntrepriseController,103,0,0,0,24,0,16,0,16,0
stage,STAGE.stage.controllers,PostulationController,175,0,4,0,42,0,11,0,9,0
stage,STAGE.stage.controllers,ChefDeFiliereController,54,3,0,0,13,1,9,1,9,1
stage,STAGE.stage.controllers,VisibleOffreController,18,0,0,0,5,0,3,0,3,0
stage,STAGE.stage.controllers,EntretienController,38,3,0,0,9,1,7,1,7,1
stage,STAGE.stage.controllers,DateConversionUtil,9,0,0,0,2,0,2,0,2,0
stage,STAGE.stage.controllers,AdminController,116,0,0,0,28,0,17,0,17,0
stage,STAGE.stage.controllers,EcoleController,169,0,2,0,33,0,13,0,12,0
stage,STAGE.stage.controllers,StageController,155,3,0,0,37,1,20,1,20,1
stage,STAGE.stage,JacksonConfig,0,29,0,0,0,11,0,2,0,2
stage,STAGE.stage,StageApplication,5,3,0,0,2,1,1,1,1,1
stage,STAGE.stage.security,UserDetailsServiceImpl,16,3,2,0,4,1,2,1,1,1
stage,STAGE.stage.security,UserDetailsImpl,81,0,6,0,24,0,13,0,10,0
stage,STAGE.stage.services,WebSecurityConfig,0,80,0,0,0,17,0,9,0,9
stage,STAGE.stage.services,CorsConfig,0,29,0,0,0,8,0,2,0,2
stage,STAGE.stage.models,Encadrant,21,0,0,0,8,0,1,0,1,0
stage,STAGE.stage.models,Offre,39,0,0,0,14,0,1,0,1,0
stage,STAGE.stage.models,Etudiant,38,0,0,0,13,0,1,0,1,0
stage,STAGE.stage.models,Entreprise,21,0,0,0,8,0,1,0,1,0
stage,STAGE.stage.models,Utilisateur,12,0,0,0,5,0,1,0,1,0
stage,STAGE.stage.models,Ecole,24,0,0,0,9,0,1,0,1,0
stage,STAGE.stage.models,RH,21,0,0,0,8,0,1,0,1,0
stage,STAGE.stage.models,Filiere,12,0,0,0,5,0,1,0,1,0
stage,STAGE.stage.services.implementation,CompteEntrepriseServiceImpl,303,0,12,0,57,0,21,0,15,0
stage,STAGE.stage.services.implementation,StatisticsServiceImpl,186,0,2,0,41,0,34,0,33,0
stage,STAGE.stage.services.implementation,OffreServiceImpl,282,0,22,0,62,0,23,0,12,0
stage,STAGE.stage.services.implementation,EntretienServiceImpl,346,3,2,0,78,1,16,1,15,1
stage,STAGE.stage.services.implementation,ChefDeFiliereServiceImpl,312,0,12,0,58,0,21,0,15,0
stage,STAGE.stage.services.implementation,CompteEcoleServiceImpl,303,0,12,0,57,0,21,0,15,0
stage,STAGE.stage.services.implementation,EntrepriseServiceImpl,117,3,2,0,24,1,8,1,7,1
stage,STAGE.stage.services.implementation,CoordinateurDeStageImpl,269,0,18,0,52,0,20,0,11,0
stage,STAGE.stage.services.implementation,EtudiantServiceImpl,221,109,12,2,37,24,19,1,12,1
stage,STAGE.stage.services.implementation,RHServiceImpl,270,0,14,0,52,0,19,0,12,0
stage,STAGE.stage.services.implementation,EvaluationServiceImpl,184,0,0,0,36,0,13,0,13,0
stage,STAGE.stage.services.implementation,EcoleServiceImpl,246,0,4,0,46,0,18,0,16,0
stage,STAGE.stage.services.implementation,FiliereServiceImpl,264,0,8,0,53,0,20,0,16,0
stage,STAGE.stage.services.implementation,EncadrantServiceImpl,274,0,18,0,52,0,20,0,11,0
stage,STAGE.stage.services.implementation,AdminServiceImpl,152,3,2,0,38,1,8,1,7,1
stage,STAGE.stage.services.implementation,VisibleOffreService,19,0,0,0,4,0,2,0,2,0
stage,STAGE.stage.services.implementation,PostulationServiceImpl,186,0,2,0,36,0,14,0,13,0
stage,STAGE.stage.services.implementation,StageServiceImpl,894,3,28,0,207,1,64,1,50,1
stage,STAGE.stage.security.jwt,AuthEntryPointJwt,48,7,0,0,11,2,1,2,1,2
stage,STAGE.stage.security.jwt,AuthTokenFilter,106,7,14,0,25,2,9,2,2,2
stage,STAGE.stage.security.jwt,JwtUtils,197,10,6,0,62,3,11,2,8,2
stage,STAGE.stage.exception,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
stage,STAGE.stage.exception,NoContentException,4,0,0,0,2,0,1,0,1,0
